27908 1.5161 0.83718 2.5183
27909 1.5058 0.8374 2.4962
27910 1.505 0.8268 2.5086
28001 1.5192 0.8586 2.5153
28004 1.5139 0.88165 2.4976
28007 1.5094 0.85848 2.5367
28009 1.5167 0.87975 2.5291
28011 1.5109 0.87987 2.5373
28034 1.5179 0.90226 2.5205
28040 1.5141 0.92099 2.5166
28042 1.5083 0.90134 2.5366
28045 1.4996 0.92311 2.5388
28076 1.4968 0.90127 2.5577
28077 1.4918 0.92012 2.5555
28096 1.474 0.96551 2.5389
28101 1.5 0.94431 2.5193
28102 1.5151 0.94254 2.4982
28104 1.4945 0.95378 2.5185
28105 1.486 0.96609 2.5173
28106 1.4939 0.9641 2.5083
28108 1.4919 0.94118 2.5361
28112 1.4709 0.98333 2.5168
28117 1.4608 1.005 2.4998
28118 1.4609 0.99677 2.5079
28121 1.4824 0.98448 2.4981
28122 1.4852 0.97436 2.5078
511101 1.5165 0.79311 2.4213
511299 1.5134 0.79697 2.4391
511302 1.5078 0.79701 2.4601
511317 1.5151 0.81551 2.4601
511340 1.5117 0.81861 2.4775
511343 1.518 0.836 2.4815
511356 1.5224 0.7959 2.4004
511357 1.5263 0.81621 2.401
511358 1.5299 0.83733 2.401
511359 1.5279 0.83739 2.4206
511360 1.5271 0.82685 2.4108
511361 1.5242 0.81666 2.4204
511362 1.5254 0.83755 2.4401
511363 1.5201 0.81527 2.4393
511760 1.5146 0.85857 2.4883
511829 1.5168 0.99732 2.4404
511830 1.5056 1.0077 2.4403
511831 1.5161 1.0075 2.4306
511834 1.5138 0.98388 2.4581
511835 1.4925 1.0049 2.4579
511849 1.5149 0.96361 2.4785
511853 1.4988 0.96528 2.4994
511863 1.4728 1.0065 2.4788
511866 1.4714 0.99429 2.4996
511868 1.4948 0.98598 2.4796
511871 1.4928 0.97358 2.4982
511876 1.5372 0.86022 2.3818
511884 1.5419 0.87839 2.3811
511885 1.5471 0.901 2.3814
511887 1.5351 0.86051 2.4015
511888 1.5394 0.87803 2.4022
511890 1.5315 0.85768 2.4212
511891 1.5369 0.88068 2.42
511897 1.5432 0.90143 2.4008
511899 1.5447 0.92231 2.4016
511900 1.5458 0.92257 2.4205
511901 1.5406 0.90009 2.4202
511929 1.5597 0.96302 2.4003
511931 1.5495 0.95436 2.391
511933 1.5486 0.94599 2.4007
511934 1.5534 0.94483 2.4204
511936 1.5568 0.95505 2.4219
511946 1.5591 0.98645 2.4111
511947 1.5584 0.97255 2.4206
511949 1.5374 0.99707 2.4212
511954 1.5284 0.85822 2.4404
511955 1.5333 0.88257 2.4403
511957 1.5257 0.85861 2.4598
511958 1.5231 0.83793 2.4594
511959 1.5268 0.87989 2.4596
511960 1.5284 0.86988 2.4501
511963 1.5373 0.90144 2.4399
511964 1.5429 0.92291 2.4417
511965 1.5328 0.90108 2.4571
511967 1.5357 0.92355 2.4584
511968 1.5199 0.8795 2.48
511969 1.5218 0.8586 2.4813
511970 1.5235 0.89042 2.4686
511971 1.5292 0.9222 2.4794
511972 1.5287 0.91192 2.4686
511974 1.5513 0.9434 2.4402
511975 1.5488 0.93337 2.4309
511977 1.5569 0.96311 2.4294
511980 1.543 0.94474 2.4613
511983 1.5278 0.96527 2.4603
511984 1.5369 0.96468 2.4499
511986 1.5374 0.97547 2.4405
511987 1.5273 0.98671 2.4403
511988 1.5374 0.98643 2.431
511990 1.5478 0.98653 2.421
511991 1.5475 0.97517 2.4304
511992 1.527 0.99712 2.4307
511993 1.5287 0.97522 2.4498
511994 1.5357 0.94474 2.4687
511996 1.5264 0.94525 2.4787
511997 1.5283 0.9545 2.4691
513457 1.474 1.0188 2.4601
513458 1.4579 1.0287 2.46
513459 1.4731 1.0279 2.4497
513464 1.4632 1.0378 2.449
513465 1.4947 1.0179 2.4401
513466 1.4838 1.0279 2.4399
513469 1.5052 1.0177 2.4303
513470 1.4836 1.0194 2.4495
513473 1.4522 1.0279 2.4791
618089 1.4994 0.91156 2.5473
618093 1.5006 0.95409 2.5088
618119 1.5221 0.8798 2.5205
618120 1.5246 0.89864 2.499
618121 1.5232 0.92368 2.5007
640253 1.5227 0.80528 2.4109
640254 1.5212 0.82646 2.4499
640267 1.5438 0.91142 2.3715
640268 1.5434 0.88964 2.3914
640269 1.5433 0.91129 2.3914
640275 1.564 0.96311 2.4219
640277 1.5654 0.98761 2.4025
640279 1.5231 0.84762 2.4706
640280 1.5235 0.91138 2.4896
640281 1.546 0.96605 2.4391
640282 1.5424 0.95437 2.4499
640283 1.5243 0.93362 2.4895
